utc,timestamp,utc_usec,lat,lon,alt_msl,image
2026-01-13 03:04:17.875381+00:00,182092193,1768273457875381,14.5371305,121.3732156,386.765,IMG_0001.jpg
2026-01-13 03:04:20.875381+00:00,185095187,1768273460875380,14.5371304,121.3732155,386.851,IMG_0002.jpg
2026-01-13 03:04:23.875381+00:00,188094188,1768273463875380,14.5371295,121.3732147,388.762,IMG_0003.jpg
2026-01-13 03:04:26.875381+00:00,191094187,1768273466875380,14.5371295,121.3732154,390.583,IMG_0004.jpg
2026-01-13 03:04:29.875381+00:00,194096247,1768273469875380,14.53713,121.373215,398.346,IMG_0005.jpg
2026-01-13 03:04:32.875381+00:00,197093208,1768273472875380,14.5371303,121.3732153,406.949,IMG_0006.jpg
2026-01-13 03:04:35.875381+00:00,200094189,1768273475875380,14.5371298,121.3732153,415.726,IMG_0007.jpg
2026-01-13 03:04:38.875381+00:00,203092188,1768273478875380,14.5371299,121.3732158,424.687,IMG_0008.jpg
2026-01-13 03:04:41.875381+00:00,206089187,1768273481875379,14.5371293,121.3732155,433.706,IMG_0009.jpg
2026-01-13 03:04:44.875381+00:00,209092193,1768273484875379,14.5371297,121.3732157,442.618,IMG_0010.jpg
2026-01-13 03:04:47.875381+00:00,212095193,1768273487875379,14.537129,121.3732154,451.332,IMG_0011.jpg
2026-01-13 03:04:50.875381+00:00,215095188,1768273490875379,14.5371294,121.3732152,455.622,IMG_0012.jpg
2026-01-13 03:04:53.875381+00:00,218096187,1768273493875379,14.5371308,121.3731655,456.503,IMG_0013.jpg
2026-01-13 03:04:56.875381+00:00,221091188,1768273496875379,14.5371265,121.3730812,456.843,IMG_0014.jpg
2026-01-13 03:04:59.875381+00:00,224096188,1768273499875379,14.5371842,121.3730751,457.013,IMG_0015.jpg
2026-01-13 03:05:02.875381+00:00,227093188,1768273502875378,14.5372897,121.3730747,457.004,IMG_0016.jpg
2026-01-13 03:05:05.875381+00:00,230089187,1768273505875378,14.5373975,121.3730783,456.792,IMG_0017.jpg
2026-01-13 03:05:08.875381+00:00,233094189,1768273508875378,14.5375052,121.3730803,456.794,IMG_0018.jpg
2026-01-13 03:05:11.875381+00:00,236093186,1768273511875378,14.5376115,121.3730831,456.784,IMG_0019.jpg
2026-01-13 03:05:14.875381+00:00,239092252,1768273514875378,14.5376484,121.3730735,456.65,IMG_0020.jpg
2026-01-13 03:05:17.875381+00:00,242095358,1768273517875378,14.5376073,121.3729891,456.815,IMG_0021.jpg
2026-01-13 03:05:20.875381+00:00,245093188,1768273520875377,14.5375581,121.3728916,456.811,IMG_0022.jpg
2026-01-13 03:05:23.875381+00:00,248092194,1768273523875377,14.537508,121.3727923,456.769,IMG_0023.jpg
2026-01-13 03:05:26.875381+00:00,251092194,1768273526875377,14.5374586,121.3726932,456.766,IMG_0024.jpg
2026-01-13 03:05:29.875381+00:00,254087651,1768273529875377,14.5374088,121.372594,456.759,IMG_0025.jpg
2026-01-13 03:05:32.875381+00:00,257090192,1768273532875377,14.5373667,121.3725116,456.759,IMG_0026.jpg
2026-01-13 03:05:35.875381+00:00,260094273,1768273535875377,14.5373352,121.3725384,456.783,IMG_0027.jpg
2026-01-13 03:05:38.875381+00:00,263092189,1768273538875376,14.537278,121.372609,456.732,IMG_0028.jpg
2026-01-13 03:05:41.875381+00:00,266095187,1768273541875376,14.5373005,121.3726788,456.706,IMG_0029.jpg
2026-01-13 03:05:44.875381+00:00,269095187,1768273544875376,14.5373486,121.3727749,456.922,IMG_0030.jpg
2026-01-13 03:05:47.875381+00:00,272094185,1768273547875376,14.5373989,121.3728716,457.033,IMG_0031.jpg
2026-01-13 03:05:50.875381+00:00,275095187,1768273550875376,14.5374501,121.3729702,456.755,IMG_0032.jpg
2026-01-13 03:05:53.875381+00:00,278089282,1768273553875375,14.5374998,121.3730688,456.717,IMG_0033.jpg
2026-01-13 03:05:56.875381+00:00,281095193,1768273556875375,14.53755,121.3731671,456.697,IMG_0034.jpg
2026-01-13 03:05:59.875381+00:00,284095356,1768273559875375,14.5376007,121.3732645,456.726,IMG_0035.jpg
